AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,4743.7,4682.1,4383.7,3950.7,3433.9,3141.0,2825.8,2371.5,2048.7,2316.3,2360.8,2326.8,1907.3,1804.2,2152.7
Current_Liabilities,1044.4,965.1,932.2,887.5,788.9,750.0,773.8,674.9,701.5,661.1,714.2,705.5,631.0,601.1,656.4
Diluted_EPS,0.549,0.6,0.629,0.754,0.589,0.883,0.652,0.586,0.516,0.471,0.545,0.534,0.47700000000000004,0.43,0.478
Goodwill_Intangibles,2644.0,2404.0,2397.7,2390.0,2394.7,2390.7,2391.2,2387.2,2384.8,2383.7,2379.1,2377.5,2374.5,2377.5,2373.9
Inventory,821.1,593.4,471.6,382.9,368.4,333.1,319.0,340.5,352.3,360.7,317.7,299.5,300.8,277.7,262.1
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,1518.6,1425.0,1410.6,1461.9,1243.8,1196.3,1246.4,1093.9,1062.1,1017.2,1133.6,1104.0,946.0,924.2,1016.2
Shares_Diluted,535.554,535.894,535.915,535.557,534.982,534.195,533.263,531.191,540.518,541.271,548.422,548.2180000000002,548.273,556.643,559.955
Total_Assets,8187.5,7804.8,7449.4,7071.5,6534.4,6202.7,5697.7,5193.8,4881.5,5150.4,5137.4,5084.3,4655.9,4526.9,4871.4
Total_Liabilities,1320.8,1237.8,1204.4,1166.0,1074.9,1041.9,1068.4,972.3,1010.6,979.1,1029.4,1026.7,957.0,916.0,978.1
