AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,1848.6,1781.5,1887.3,1921.1,1816.4,1792.9,1857.3,1841.0,1895.4,2045.4,1892.0,1870.4,1937.2,2137.3,2200.9,2441.6
Current_Liabilities,1656.3,1662.5,1749.4,1559.5,1591.4,1628.9,1649.5,1449.6,1527.9,1645.7,1599.6,1546.1,1569.1,1654.5,1568.4,1579.6
Diluted_EPS,-2.522,-2.327,-0.487,-0.027,-0.387,-0.104,-0.657,-1.305,-0.305,-1.202,-1.592,-0.465,-0.6559999999999999,-1.7369999999999999,-1.9140000000000001,-3.134
Goodwill_Intangibles,979.1,1056.1,1091.1,1131.8,1175.2,1182.1,1249.0,1223.2,1229.2,1203.7,1266.3,1295.3,1394.5,1402.4,1422.8,1554.9
Inventory,642.2,620.8,544.2,624.8,587.5,538.7,498.2,542.6,513.4,475.5,466.5,591.0,607.4,663.0,610.1,846.5
LT_Debt,2411.7,2340.5,2245.6,2447.1,2318.7,2270.7,2338.7,2431.1,2365.9,2353.4,2108.7,2100.3,2174.1,2191.2,2190.0,2337.0
Revenue,851.7,829.8,1059.6,958.2,943.5,943.9,1105.9,995.2,890.5,910.7,1151.6,1078.8,1150.2,1028.1,1289.8,1119.0
Shares_Diluted,79.0,78.7,78.6,78.3,78.3,78.0,77.9,77.7,77.6,77.2,77.0,76.8,76.7,76.4,76.0,76.1
Total_Assets,3182.1,3316.5,3507.2,3586.9,3535.1,3515.6,3657.4,3627.8,3721.1,3838.8,3790.6,3889.1,4104.5,4327.3,4280.5,4697.8
Total_Liabilities,4439.8,4333.2,4352.3,4459.2,4386.4,4364.2,4484.5,4434.4,4424.1,4566.7,4320.9,4339.0,4433.3,4628.7,4430.2,4705.2
