AAII_QTR_DATA,03/31/2022,01/01/2022,10/02/2021,09/30/2021,07/03/2021,06/30/2021,04/03/2021,03/31/2021,01/02/2021,12/31/2020,09/26/2020,06/27/2020,03/31/2020,12/31/2019,09/28/2019,06/29/2019,03/30/2019,12/29/2018,09/29/2018
Current_Assets,985.1,910.7,988.3,988.3,876.3,876.3,874.7,874.7,901.7,901.7,1021.3,919.9,1259.8,877.6,962.0,948.3,1781.0,1941.2,
Current_Liabilities,491.1,455.8,504.6,504.6,421.6,421.6,432.7,432.7,413.6,413.6,462.9,330.8,366.7,378.6,389.6,381.6,637.2,616.8,
Diluted_EPS,1.397,0.747,1.07,1.07,0.398,0.39799999999999996,1.094,1.094,0.738,0.738,1.055,-0.584,-0.048,0.49700000000000005,0.253,0.667,0.271,4.622,1.254
Goodwill_Intangibles,225.8,226.9,227.5,227.5,228.0,228.0,228.5,228.5,229.4,229.4,229.1,228.4,228.7,230.1,230.4,264.7,265.5,267.6,
Inventory,432.9,363.0,409.1,409.1,403.2,403.2,350.2,350.2,340.7,340.7,432.3,432.9,488.8,458.1,545.4,538.2,519.0,473.8,
LT_Debt,789.1,791.3,773.4,773.4,782.3,782.3,790.9,790.9,888.0,888.0,1021.7,1130.5,1388.7,913.3,980.6,979.7,0.0,0.0,0.0
Revenue,679.7,681.1,652.3,652.3,490.8,490.8,651.8,651.8,660.9,660.9,583.2,349.3,504.5,652.6,638.1,609.7,648.3,2764.0,704.2
Shares_Diluted,57.836,58.804,59.282,59.282,59.356,59.356,58.902,58.902,58.425,58.425,57.642,56.931,56.875,57.869,57.401,56.92,56.9211,56.9211,
Total_Assets,1589.1,1533.0,1613.2,1613.2,1517.8,1517.8,1519.7,1519.7,1545.8,1545.8,1668.7,1572.8,1901.8,1517.2,1585.8,1588.2,2385.4,2458.5,
Total_Liabilities,1405.0,1384.9,1428.4,1428.4,1364.0,1364.0,1385.4,1385.4,1461.2,1461.2,1642.7,1617.7,1920.3,1447.9,1530.2,1506.0,806.4,735.0,
