AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.23,0.26,0.27,0.4,0.28,0.226,0.38,0.31,0.28
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,3.2,3.5,3.6,4.0,3.7,3.5,3.4,3.5,3.3
Shares_Diluted,4.2261,,4.1815,4.1925,4.1643,4.177,4.1553,4.1194,4.225
Total_Assets,403.5,,329.5,331.6,315.4,312.0,309.2,310.0,305.2
Total_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
