AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,184.6,187.7,191.7,192.3,178.4,153.2,144.1,46.1,46.9,39.5,40.2,46.6,35.9,32.4
Current_Liabilities,54.2,55.1,50.9,54.4,38.7,51.0,38.9,57.4,59.7,54.3,37.3,42.7,40.4,35.8
Diluted_EPS,-0.181,-0.222,-0.063,-0.081,-0.281,-0.229,0.059,-0.005,0.005,-0.046,-0.077,0.049,-0.039,-0.076
Goodwill_Intangibles,41.7,39.5,37.1,33.7,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9
Inventory,3.6,2.1,1.2,2.0,1.8,1.9,3.3,3.9,3.3,2.8,2.0,3.3,4.9,3.5
LT_Debt,12.1,12.5,12.8,13.2,13.6,14.0,14.3,159.9,159.2,158.5,174.1,173.2,167.4,166.6
Revenue,55.8,50.2,64.1,70.1,52.6,55.8,44.9,47.4,48.6,39.0,46.5,45.5,36.0,31.2
Shares_Diluted,67.876,67.559,67.499,66.755,66.616,64.625,65.458,39.002,49.2361,49.1361,44.9185,45.1585,45.1585,45.1585
Total_Assets,242.0,244.0,246.1,242.7,220.1,194.2,183.8,85.8,85.4,77.3,77.7,84.2,72.6,69.5
Total_Liabilities,67.6,69.0,65.8,71.2,55.4,68.3,56.7,229.1,228.5,220.7,218.8,221.9,212.4,207.6
