AAII_QTR_DATA,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,10/31/2010,07/31/2010,04/30/2010,01/31/2010
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,,0.0,0.0,0.0,0.0,,,,
Diluted_EPS,0.0,-0.416,-0.067,-0.067,-60.078,-16.401,-25.402,-32.259,-42.79
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.7,0.7,0.6,1.1
Shares_Diluted,0.1,0.1,0.1,0.1,0.1,0.0399,0.0399,0.0399,0.023
Total_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_Liabilities,0.0,0.0,0.0,0.0,0.0,,,,
