AAII_QTR_DATA,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
Current_Assets,2.1,1.0,0.8,0.8,0.7,0.7,0.8,0.6,0.5,0.8,1.0,1.5,1.3,1.4,1.7,2.0,0.8
Current_Liabilities,2.6,1.4,1.1,1.2,1.0,1.1,1.3,1.2,0.9,0.7,0.6,1.3,0.8,0.6,0.6,0.6,2.1
Diluted_EPS,-0.022,0.036,0.015,0.016,-0.151,0.026,0.023,-0.097,-1.6059999999999999,-1.0390000000000001,-0.482,-1.2,-1.535,-1.017,-0.946,-1.8780000000000001,-2.117
Goodwill_Intangibles,1.2,1.2,0.8,0.6,0.5,0.9,0.8,0.8,0.7,0.9,0.8,0.8,0.9,1.2,1.2,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,1.7,1.5,1.4,1.2,1.2,1.2,1.2,0.9,0.8,0.8,1.3,0.8,0.6,0.7,0.7,0.9,0.9
Shares_Diluted,14.2036,14.7904,14.4921,14.7673,2.755,2.7988,2.755,2.755,0.5502,0.5499,0.5499,0.5499,0.5964,0.5977,0.5887,0.4877,0.3624
Total_Assets,3.9,2.9,1.7,1.5,1.3,1.7,1.8,1.5,1.4,1.8,2.0,2.5,2.2,2.7,3.0,3.2,1.8
Total_Liabilities,3.0,1.7,1.1,1.2,1.2,1.2,1.5,1.4,1.1,1.0,0.9,1.6,1.1,0.9,0.6,0.6,2.2
