AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,42.8,50.2,52.9,50.3,47.1,44.2,44.6,48.1,34.8,34.3,29.8,28.0,25.6,25.5,28.2,26.2
Current_Liabilities,17.2,18.7,17.7,14.6,12.3,11.1,10.0,10.4,9.9,11.5,9.9,10.4,9.2,11.0,12.2,16.0
Diluted_EPS,0.887,0.45,0.361,0.57,0.211,0.401,0.264,0.37,0.43,0.71,0.24,0.61,2.11,0.89,0.27699999999999997,0.20600000000000002
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,20.5,20.3,20.8,18.1,15.6,14.4,16.8,14.3,12.0,11.4,11.1,10.2,9.7,9.1,9.4,9.7
LT_Debt,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.9,1.9,0.4,0.9,2.0,6.0,0.0
Revenue,35.1,33.3,30.5,31.8,28.5,24.4,26.7,24.1,21.8,22.4,22.3,19.0,15.7,15.1,16.6,15.8
Shares_Diluted,12.8331,13.2,11.7097,12.1737,12.7678,11.349,11.2528,11.9811,11.9395,11.6056,9.9651,11.4869,11.0441,10.4697,10.0559,10.7865
Total_Assets,222.2,218.3,210.9,197.7,188.0,183.0,177.9,172.1,154.4,150.9,143.6,137.2,131.3,128.2,125.7,121.5
Total_Liabilities,46.4,51.3,49.6,46.5,41.9,38.4,36.4,33.3,31.5,32.6,35.1,30.9,30.9,50.5,55.2,52.9
