AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,304.8,331.3,335.2,371.6,381.5,439.4,417.3,415.2,364.8,385.5,357.0
Current_Liabilities,150.1,170.2,175.9,224.1,229.8,285.3,275.5,289.5,244.4,261.1,238.5
Diluted_EPS,-0.173,-0.116,-0.219,-0.208,-1.04,0.223,0.464,0.326,0.14300000000000002,0.084,-0.547
Goodwill_Intangibles,68.3,68.7,69.2,71.4,72.5,111.8,112.8,113.6,114.4,115.5,
Inventory,6.8,6.8,6.5,7.7,7.2,7.6,8.0,8.6,8.0,6.5,81.8
LT_Debt,0.0,9.4,9.2,8.9,14.8,11.4,5.3,2.2,0.0,1.5,0.0
Revenue,167.5,182.8,195.8,248.3,318.7,338.1,398.7,358.9,340.6,318.5,293.1
Shares_Diluted,26.489,26.265,26.141,26.478,26.925,27.575,27.587,27.417,27.582,27.589000000000002,26.835
Total_Assets,479.9,512.2,517.3,567.3,591.9,672.8,633.4,631.4,569.6,587.2,558.0
Total_Liabilities,175.6,206.2,209.4,255.9,269.1,315.3,281.4,295.3,246.0,264.4,239.2
