AAII_QTR_DATA,01/30/2021,10/31/2020,08/01/2020,05/02/2020,02/01/2020,11/02/2019,08/03/2019,05/04/2019,02/02/2019,11/03/2018,08/04/2018
Current_Assets,547.1,539.6,469.9,468.2,449.9,516.1,521.4,474.0,435.4,547.4,573.7
Current_Liabilities,718.5,776.8,809.5,759.0,595.0,660.6,674.2,600.2,331.4,411.8,447.3
Diluted_EPS,0.53,0.91,-3.187,-7.858,1.605,2.769,0.096,0.279,0.7390000000000001,3.026,0.44799999999999995
Goodwill_Intangibles,72.5,74.1,74.6,75.0,75.5,75.8,76.1,76.6,,,
Inventory,388.1,427.6,381.0,335.8,327.2,389.8,386.2,341.2,303.5,376.9,366.5
LT_Debt,75.3,76.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,472.9,425.6,368.9,255.2,513.0,524.8,420.5,412.4,530.6,522.5,448.7
Shares_Diluted,14.64,14.643,14.634,14.611,15.101,15.546,15.859,16.107,16.274,16.496,16.715
Total_Assets,1140.1,1206.9,1167.9,1184.9,1181.4,1285.7,1303.5,1286.0,727.0,837.3,854.3
Total_Liabilities,1046.8,1129.6,1106.4,1079.9,946.2,1031.3,1054.3,1005.6,412.6,493.8,531.2
