AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,266.2,279.5,291.4,33.1,39.2,41.5,,,,
Current_Liabilities,15.6,12.9,10.7,11.6,11.5,6.9,,,,
Diluted_EPS,0.256,0.608,-1.017,-0.058,-0.158,-0.062,-0.062,-0.034,-0.033,-0.032
Goodwill_Intangibles,1.6,0.1,0.2,0.3,0.3,0.4,,,,
Inventory,14.0,13.1,12.0,11.7,7.9,5.1,,,,
LT_Debt,2.1,2.9,3.7,4.5,3.8,4.4,0.0,0.0,0.0,0.0
Revenue,8.6,6.7,7.3,5.6,5.5,5.3,4.7,3.5,2.5,1.2
Shares_Diluted,132.132,131.149,117.8019,117.7335,117.7335,117.7335,,,,
Total_Assets,286.3,286.9,295.6,35.4,41.1,43.1,,,,
Total_Liabilities,39.4,87.2,230.1,16.2,15.3,11.4,,,,
