AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.41,0.355,0.323,0.397,0.389,0.356,0.462,0.558,0.516,0.563,0.537,0.524,-1.03
Goodwill_Intangibles,1.7,1.6,1.7,2.0,0.9,1.1,1.2,1.4,1.5,1.4,1.5,1.6,1.8
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1960.7,1509.2,1412.9,1602.9,1639.6,1366.8,1452.7,1522.7,1433.4,1277.7,1357.0,1497.3,1424.0
Revenue,,34.2,32.9,37.8,39.7,44.5,59.0,64.1,65.5,70.5,73.6,74.1,65.0
Shares_Diluted,38.789,39.659,39.693,39.689,39.672,39.654,39.609,39.602,39.602,39.553,39.559,39.54,39.54
Total_Assets,6977.1,6723.2,6374.8,6288.9,6311.2,6627.2,6822.5,7249.7,6681.2,6575.6,6450.3,7609.2,6560.8
Total_Liabilities,5964.4,5692.5,5338.2,5251.0,5285.5,5605.4,5804.0,6233.5,5672.1,5573.0,5453.4,6615.6,5571.8
