AAII_QTR_DATA,01/30/2021,10/31/2020,08/01/2020,05/02/2020,01/25/2020,10/26/2019,07/27/2019,04/27/2019,01/26/2019,10/27/2018,07/28/2018
Current_Assets,313.2,565.3,527.1,460.7,407.0,384.6,366.8,321.5,429.8,429.0,414.6
Current_Liabilities,130.6,140.0,149.7,141.7,109.2,108.1,117.4,97.0,223.3,103.5,120.9
Diluted_EPS,0.392,0.503,0.547,0.382,0.284,0.348,0.368,0.279,0.529,0.875,1.041
Goodwill_Intangibles,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,
Inventory,71.1,68.8,63.1,63.5,61.2,67.8,73.4,70.7,72.2,80.8,67.8
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,245.9,271.8,293.4,262.4,222.8,251.6,263.6,239.9,220.9,260.7,292.6
Shares_Diluted,93.61,93.754,93.508,94.826,93.604,93.754,93.76,93.774,46.934,46.928,46.919
Total_Assets,497.5,751.0,711.7,648.6,589.3,566.8,550.2,452.2,552.7,544.2,523.2
Total_Liabilities,181.5,193.0,202.7,196.3,167.1,167.3,184.0,120.6,247.2,127.2,144.8
