AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020,03/31/2020
Current_Assets,0.6,1.7,1.5,0.9,1.1,1.3,,,
Current_Liabilities,6.7,6.2,5.3,4.9,4.4,5.0,,,
Diluted_EPS,-0.088,-0.098,-0.046,-0.023,0.017,-0.125,-0.094,-0.015,-0.008
Goodwill_Intangibles,0.3,0.3,0.3,0.3,0.3,0.3,,,
Inventory,0.3,0.4,0.5,0.4,0.4,0.3,,,
LT_Debt,0.2,0.2,0.2,0.2,0.2,0.3,0.0,0.0,0.0
Revenue,1.3,1.5,1.7,2.2,2.5,2.2,1.3,0.1,0.0
Shares_Diluted,13.1706,12.8477,12.688,12.6621,24.8249,12.5158,,,
Total_Assets,3.6,4.1,4.0,4.2,3.9,4.0,,,
Total_Liabilities,6.9,6.4,5.6,5.2,4.6,5.4,,,
