AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,324.3,317.4,329.3,314.9,293.8,320.3,350.0,383.4,377.3,355.4,348.5
Current_Liabilities,102.2,94.2,107.0,107.2,89.4,112.7,128.2,145.4,141.9,118.0,123.5
Diluted_EPS,0.018,0.124,0.113,0.016,-0.208,-0.243,-0.964,0.083,0.016,-0.177,0.159
Goodwill_Intangibles,29.4,30.4,31.4,32.4,33.4,34.8,36.1,37.5,38.8,40.3,27.7
Inventory,122.9,125.5,120.3,106.1,99.5,98.3,104.9,95.1,93.6,99.8,106.1
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,25.6
Revenue,127.5,130.1,133.1,128.7,114.5,115.8,114.1,156.4,143.8,140.1,140.3
Shares_Diluted,49.004,49.281,48.424,48.254,47.957,47.935,47.824,48.036,47.853,47.739,47.834
Total_Assets,530.8,525.7,531.4,522.7,498.3,545.1,579.9,639.8,632.6,628.0,648.8
Total_Liabilities,160.4,152.7,161.8,158.5,134.6,164.7,184.9,193.8,189.1,181.7,185.2
