AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,3189.0,3891.0,4009.0,6351.0,4973.0,4249.0,4227.0,3076.0,3467.0,3260.0,3477.0,3378.0,4055.0,3851.0,2846.0,5167.0,2703.0,4437.0,4757.0
Current_Liabilities,2931.0,3105.0,3460.0,4094.0,3754.0,3087.0,3505.0,3072.0,2945.0,1440.0,1709.0,1452.0,1554.0,1927.0,1658.0,3467.0,1968.0,2226.0,3224.0
Diluted_EPS,1.526,1.837,2.882,2.928,1.479,2.246,1.236,0.376,0.316,-0.273,-0.249,-1.777,-4.82,-1.6030000000000002,0.2739999999999999,1.2,-0.741,2.613,5.14
Goodwill_Intangibles,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,841.0,841.0,841.0,841.0,841.0
Inventory,212.0,201.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,6425.0,6438.0,6445.0,6709.0,6718.0,6729.0,6738.0,6747.0,7286.0,4542.0,4540.0,4538.0,4537.0,4534.0,4535.0,4533.0,6024.0,4292.0,5791.0
Revenue,3823.0,4299.0,5432.0,5626.0,3812.0,4273.0,3466.0,2417.0,2050.0,1280.0,1067.0,394.0,2087.0,1224.0,1746.0,1806.0,1079.0,2939.0,2156.0
Shares_Diluted,647.0,650.0,651.0,654.0,658.0,662.0,673.0,673.0,667.5,377.0,377.0,377.0,377.0,401.0,394.0,411.0,428.0,437.0,493.3852
Total_Assets,23420.0,23721.0,23557.0,23194.0,21778.0,21025.0,21057.0,20065.0,20457.0,9912.0,10326.0,10357.0,11144.0,13717.0,14394.0,16649.0,18077.0,19566.0,20172.0
Total_Liabilities,12443.0,12554.0,12684.0,13104.0,12478.0,11763.0,12133.0,11666.0,12104.0,7027.0,7303.0,7130.0,7225.0,7915.0,7852.0,9655.0,10220.0,10380.0,11274.0
