AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,580.1,696.4,499.0,606.4,597.7,551.8,544.1,602.3
Current_Liabilities,256.4,240.1,226.4,260.9,242.4,215.1,222.0,270.9
Diluted_EPS,0.403,-0.216,-0.119,0.344,-0.344,-0.39,-0.265,0.085
Goodwill_Intangibles,630.2,639.9,651.5,663.1,675.2,686.9,692.0,704.0
Inventory,238.8,259.3,238.5,256.6,291.7,305.5,285.0,265.6
LT_Debt,1206.1,1395.4,1223.2,1292.6,1346.6,1350.2,1311.0,1312.2
Revenue,426.2,330.9,363.1,464.5,702.1,291.9,339.2,434.5
Shares_Diluted,67.191,65.0205,64.571,64.998,64.1645,64.1075,63.967,64.269
Total_Assets,1771.5,1912.6,1740.1,1866.1,1878.2,1851.9,1793.3,1868.1
Total_Liabilities,1636.1,1809.4,1619.1,1742.1,1779.3,1758.4,1685.0,1739.2
