AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,420.9,403.3,406.7,414.2,395.5,417.6,434.7,442.0,390.6,382.9,395.8,427.9
Current_Liabilities,414.9,422.2,435.6,397.8,374.5,423.0,411.5,356.0,302.7,311.6,322.0,359.9
Diluted_EPS,0.027,-0.025,-0.072,-0.176,-0.372,-0.197,-0.314,-0.143,-0.059000000000000004,0.06,-0.077,-0.049
Goodwill_Intangibles,375.1,382.9,391.1,399.6,408.2,416.9,428.9,189.7,195.9,201.3,209.1,
Inventory,43.9,49.8,55.8,62.6,66.2,79.7,82.4,63.6,57.6,58.3,55.6,63.9
LT_Debt,322.4,328.9,335.5,394.6,399.7,348.9,353.4,169.7,172.0,174.2,176.5,188.7
Revenue,253.4,242.1,235.8,215.5,209.5,267.5,255.5,252.4,250.9,252.7,239.9,278.3
Shares_Diluted,129.988,123.264,121.705,120.312,119.162,119.555,120.226,118.959,117.944,119.544,117.368,115.961
Total_Assets,953.7,945.8,959.5,979.1,973.5,1014.7,1051.8,756.9,711.5,711.9,731.9,770.2
Total_Liabilities,918.5,927.9,949.6,973.7,957.1,963.7,957.9,640.9,585.5,596.1,614.8,657.5
