AAII_QTR_DATA,06/26/2022,03/27/2022,12/26/2021,09/26/2021,06/27/2021,03/28/2021,12/27/2020,09/30/2020,09/27/2020,06/30/2020,06/28/2020,03/31/2020,03/29/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,443.7,472.6,506.7,167.6,177.5,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,50.5,49.4,47.5,54.0,51.1,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,-0.365,-0.449,-2.382,-0.281,-0.251,-0.281,-0.384,-0.828,-0.344,-0.11800000000000001,-0.36700000000000005,-0.851,-0.224,-1.111,-0.023,0.052000000000000005,0.679,-1.274,-0.233
Goodwill_Intangibles,67.3,67.8,68.8,67.9,17.4,,,568.8,,572.7,,576.7,,580.6,584.2,588.3,592.4,596.2,608.2
Inventory,1.1,1.0,0.9,0.8,0.8,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.8,0.0,684.9,0.0,664.8,0.0,685.2,670.3,685.9,686.1,696.8,697.7
Revenue,124.9,102.6,96.4,95.8,86.2,61.4,59.2,386.3,55.5,401.9,32.9,479.3,73.0,414.3,425.0,422.4,361.0,392.0,363.7
Shares_Diluted,109.6795,109.472,27.7824,106.9994,106.9994,,,115.29799999999999,,115.2782,,115.2623,,115.2586,115.2519,115.7964,127.3353,117.0157,120.0
Total_Assets,727.5,737.7,762.6,406.0,353.7,,,6632.8,,6664.0,,6757.6,,6413.8,6465.1,6419.2,6307.0,6007.7,6258.7
Total_Liabilities,115.3,110.8,109.5,118.7,96.6,,,4976.1,,4938.1,,5083.9,,4550.4,4486.5,4393.8,4293.4,4071.0,4176.9
