AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,512.6,436.3,437.7,348.4,55.8,60.7,,,,
Current_Liabilities,50.2,49.1,33.3,24.5,31.7,28.7,,,,
Diluted_EPS,-0.228,0.23,-0.655,-0.855,-0.144,-0.067,-0.073,0.0,-0.253,-0.188
Goodwill_Intangibles,59.0,59.2,,,,,,,,0.0
Inventory,6.5,5.2,5.6,4.0,2.6,3.5,,,,
LT_Debt,0.0,0.0,0.0,0.0,2.0,3.1,0.0,0.0,0.0,0.0
Revenue,28.5,28.5,27.1,27.7,29.5,26.9,23.6,25.1,37.2,12.9
Shares_Diluted,283.405,312.432,245.929,196.478,43.125,43.125,,,,
Total_Assets,689.5,721.9,719.2,653.4,71.5,74.5,,,,
Total_Liabilities,58.3,62.3,451.0,447.7,34.3,32.4,,,,
