AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,44.3,69.2,60.4,68.1,77.5,87.4,95.8,0.2,0.4,0.5,0.7,0.7,0.8,0.9
Current_Liabilities,8.6,27.5,27.2,32.6,56.6,31.0,29.2,0.4,0.3,0.3,0.2,0.5,0.4,0.2
Diluted_EPS,-0.026,-0.577,-0.91,0.039,-0.35,-0.55,-3.15,-0.077,-0.10800000000000001,-0.024,-0.043,-0.018000000000000002,-0.041,-0.022
Goodwill_Intangibles,22.7,22.9,23.1,41.8,42.0,42.4,42.8,,,,,,,
Inventory,16.7,16.2,15.4,14.1,13.1,11.6,10.2,,,,,,,
LT_Debt,1.6,6.1,7.6,13.1,6.6,35.2,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,4.7,5.2,4.2,4.0,3.7,3.5,12.1,,0.0,0.0,,0.0,0.0,0.0
Shares_Diluted,39.5598,27.9606,26.3612,25.756,25.589,25.0301,11.2455,3.7299,3.7183,3.6977,3.6726,3.6662,3.6623,3.6564
Total_Assets,105.5,127.2,116.2,141.1,149.8,158.7,165.9,132.7,132.9,133.5,133.1,133.0,132.4,131.8
Total_Liabilities,20.9,44.8,43.4,53.5,71.0,74.2,70.6,0.4,0.3,0.3,0.2,0.5,0.4,0.2
