AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,18.6,20.3,17.5,19.5,18.2,20.3,21.2,16.8
Current_Liabilities,6.1,8.4,6.8,6.9,6.5,8.6,6.1,2.2
Diluted_EPS,0.092,0.103,0.041,0.034,-0.002,0.086,-0.018,-0.013
Goodwill_Intangibles,5.4,5.5,5.5,5.6,5.6,5.7,5.7,0.1
Inventory,7.9,8.9,9.2,8.6,9.3,8.7,8.7,5.3
LT_Debt,3.2,3.5,3.7,4.4,4.2,4.4,4.6,0.0
Revenue,7.7,8.4,4.8,7.4,6.8,8.5,5.7,3.8
Shares_Diluted,12.2637,12.3009,12.7557,12.2778,11.7696,11.8166,11.6382,11.631
Total_Assets,33.6,34.8,32.4,33.5,32.2,34.4,31.2,19.7
Total_Liabilities,13.2,15.7,14.5,15.5,14.8,16.7,14.1,2.2
