AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,145.8,140.1,140.7,143.6,145.2,140.3,135.6,127.0,132.5,134.7,143.4,136.1,126.6,116.1,115.2,115.0,113.7,107.3,111.0
Current_Liabilities,140.8,139.5,137.7,131.3,131.8,129.5,133.8,123.4,123.0,125.9,129.2,128.6,127.7,118.0,83.3,81.2,79.7,76.8,79.7
Diluted_EPS,0.258,0.193,0.095,0.172,0.279,0.392,0.318,0.222,0.207,0.16,0.165,0.207,0.431,0.083,0.06,0.089,0.171,0.0969999999999999,0.093
Goodwill_Intangibles,14.3,14.7,14.1,13.4,13.0,12.3,11.7,11.2,11.0,10.6,10.5,10.3,9.7,9.5,8.6,8.1,6.5,6.4,5.6
Inventory,116.1,111.4,113.8,111.3,106.7,101.8,100.5,100.4,98.5,99.6,100.2,96.3,88.4,98.1,96.2,96.1,95.3,95.2,94.2
LT_Debt,54.8,57.6,58.6,62.7,59.9,58.6,61.4,59.6,70.8,72.0,39.5,33.8,34.2,39.4,57.2,59.3,55.0,57.5,53.6
Revenue,283.2,280.5,274.2,266.3,271.8,277.3,272.6,258.6,259.2,265.0,264.2,265.1,277.5,230.0,227.2,224.4,230.4,221.5,217.5
Shares_Diluted,22.8247,22.8014,22.8284,22.8548,22.8195,22.7527,22.6853,22.7111,22.7376,22.6908,22.6518,22.6413,22.5434,22.543000000000006,22.5243,22.5253,22.5618,22.596,22.3693
Total_Assets,652.0,658.5,663.1,664.2,655.1,654.3,655.1,646.5,659.3,664.1,681.8,675.4,676.6,669.3,327.1,320.3,313.3,310.1,307.1
Total_Liabilities,490.0,500.3,507.3,508.6,501.3,504.8,512.3,509.6,525.9,533.9,508.7,504.8,509.2,510.2,170.2,165.0,160.1,161.0,160.4
