AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,134.7,143.4,136.1,126.6,116.1,115.2,115.0,113.7,107.3,111.0
Current_Liabilities,125.9,129.2,128.6,127.7,118.0,83.3,81.2,79.7,76.8,79.7
Diluted_EPS,0.16,0.165,0.207,0.431,0.083,0.06,0.089,0.171,0.097,0.093
Goodwill_Intangibles,10.6,10.5,10.3,9.7,9.5,8.6,8.1,6.5,6.4,5.6
Inventory,99.6,100.2,96.3,88.4,98.1,96.2,96.1,95.3,95.2,94.2
LT_Debt,72.0,39.5,33.8,34.2,39.4,57.2,59.3,55.0,57.5,53.6
Revenue,265.0,264.2,265.1,277.5,230.0,227.2,224.4,230.4,221.5,217.5
Shares_Diluted,22.6908,22.6518,22.6413,22.5434,22.543,22.5243,22.5253,22.5618,22.596,22.3693
Total_Assets,664.1,681.8,675.4,676.6,669.3,327.1,320.3,313.3,310.1,307.1
Total_Liabilities,533.9,508.7,504.8,509.2,510.2,170.2,165.0,160.1,161.0,160.4
