AAII_QTR_DATA,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020
Current_Assets,598.8,608.2,130.6,128.2,,,,,
Current_Liabilities,181.0,160.0,122.4,113.6,,,,,
Diluted_EPS,-0.421,-0.425,-0.097,-0.135,-0.142,-0.117,-0.098,-0.06,-0.078
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,77.5,70.4,64.0,55.8,47.9,42.9,39.3,35.9,32.0
Shares_Diluted,93.25,101.1045,90.2559,90.2559,,,,,
Total_Assets,716.3,666.3,184.1,174.1,,,,,
Total_Liabilities,231.6,164.7,128.3,117.4,,,,,
