AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,234.6,259.9,282.9,300.8,80.2,91.4,,,,
Current_Liabilities,31.0,30.1,28.6,27.8,24.9,21.0,,,,
Diluted_EPS,-0.39,-0.4,-0.332,-0.35,-0.38,-0.2,-0.165,-0.165,-0.124,-0.166
Goodwill_Intangibles,17.9,16.8,15.7,14.3,13.9,13.0,,,,
Inventory,5.8,5.0,5.7,4.5,3.7,3.1,,,,
LT_Debt,14.8,10.7,11.2,11.6,2.3,2.5,0.0,0.0,0.0,0.0
Revenue,11.7,10.9,10.9,10.4,10.2,9.0,7.8,7.2,5.9,7.5
Shares_Diluted,63.2846,63.7175,64.2965,60.6943,48.3947,63.3381,,,,
Total_Assets,277.2,297.6,320.2,334.9,104.0,111.9,,,,
Total_Liabilities,49.1,45.6,44.8,45.2,32.9,29.8,,,,
