AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,12/31/2019,09/30/2019
Current_Assets,111.0,78.0,75.2,39.4,31.0,31.4,32.5,33.0,,
Current_Liabilities,32.3,26.1,24.6,29.0,29.1,26.0,28.5,26.4,,
Diluted_EPS,0.134,-0.008,0.039,0.063,-0.033,-0.101,0.017,0.015,0.003,0.039
Goodwill_Intangibles,13.7,13.9,14.1,15.0,13.4,13.7,14.0,14.5,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,67.5,69.4,71.4,49.0,51.4,53.9,56.3,58.7,0.0,0.0
Revenue,67.9,32.2,45.3,39.7,31.7,31.4,24.8,75.6,22.0,83.7
Shares_Diluted,142.4621,141.0455,141.0152,141.048,141.0152,141.0152,140.6627,140.6627,,
Total_Assets,314.3,287.0,286.5,259.7,251.6,253.4,253.4,251.5,,
Total_Liabilities,109.4,103.6,104.2,85.7,89.0,88.6,93.7,94.7,,
