AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
Current_Assets,39.8,41.9,38.7,75.8,37.2,78.0,94.2,93.0,91.4,96.3
Current_Liabilities,17.8,19.3,12.0,11.3,8.9,33.2,25.0,26.1,26.1,29.1
Diluted_EPS,-0.047,-0.137,-0.01,0.51,-0.086,0.016,0.027,0.007,0.019,0.077
Goodwill_Intangibles,13.5,13.6,14.0,14.4,14.4,14.8,14.4,14.3,14.0,15.3
Inventory,6.9,5.8,5.0,5.0,4.3,12.4,14.4,13.1,12.5,12.6
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,6.8,9.0,9.3,10.1,6.5,33.4,18.3,16.4,7.6,23.8
Shares_Diluted,23.3019,23.2871,23.2153,23.164,23.164,23.1544,23.154,23.154,23.154,23.1543
Total_Assets,57.0,59.4,59.8,100.3,98.7,108.1,122.8,121.6,119.8,127.0
Total_Liabilities,22.0,23.6,20.9,21.2,34.5,41.0,35.1,35.3,36.0,39.3
