AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019
Current_Assets,631.1,104.3,103.2,94.9,100.2,116.5,115.8,89.0,0.1
Current_Liabilities,437.1,65.1,71.4,40.9,52.6,54.0,77.8,60.7,0.2
Diluted_EPS,-0.531,-0.574,-0.149,0.308,-0.268,-0.326,0.063,-0.451,-0.359
Goodwill_Intangibles,1034.8,304.9,305.6,306.0,307.3,308.0,308.7,299.0,
Inventory,414.5,33.7,31.4,30.6,32.1,30.7,33.0,21.4,
LT_Debt,1311.3,730.2,721.1,745.1,749.1,768.0,735.7,679.5,0.0
Revenue,375.1,78.3,83.3,69.3,68.5,81.7,77.2,62.4,124.3
Shares_Diluted,243.7521,48.6196,49.1568,49.3078,49.0339,49.0339,49.0339,39.9095,33.8265
Total_Assets,2702.5,750.2,768.4,769.5,783.2,815.1,815.3,739.0,412.1
Total_Liabilities,1828.6,818.9,799.5,793.9,823.5,842.6,827.4,754.8,15.2
