AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,06/30/2018
Current_Assets,720.3,687.7,672.7,699.6,698.0,697.5,608.9,666.8,373.6
Current_Liabilities,140.3,118.5,103.5,117.6,95.3,83.9,78.0,66.4,43.1
Diluted_EPS,-0.389,-0.282,-0.256,-0.804,-0.444,2.535,-1.624,-12.037,-0.96
Goodwill_Intangibles,12.5,12.6,12.9,7.0,7.0,7.0,7.0,9.4,7.4
Inventory,115.0,99.6,89.1,85.5,69.3,60.0,48.6,51.0,20.0
LT_Debt,13.7,13.3,13.6,14.7,14.0,14.7,15.4,5.7,4.6
Revenue,137.1,121.3,120.6,109.1,91.0,72.0,39.2,19.4,2.6
Shares_Diluted,31.3568,31.2937,31.1526,31.0385,31.0205,31.4529,30.8186,28.3667,28.2167
Total_Assets,910.3,870.6,854.4,882.2,847.9,842.8,749.6,773.9,439.5
Total_Liabilities,175.8,153.6,139.4,156.2,128.2,113.9,109.8,82.0,57.9
