AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,465.2,478.3,483.2,477.1,429.8,413.7,397.1,379.1
Current_Liabilities,236.6,248.4,237.0,228.2,211.4,210.6,204.6,212.6
Diluted_EPS,-0.101,0.259,0.509,0.464,0.372,0.078,0.356,0.334
Goodwill_Intangibles,544.9,545.3,546.5,542.1,541.2,539.7,536.4,538.6
Inventory,114.2,112.8,108.0,105.8,103.9,103.9,100.9,99.2
LT_Debt,0.0,0.0,50.0,77.1,76.6,97.0,135.4,167.1
Revenue,199.6,229.7,248.3,228.8,217.4,202.5,211.8,204.3
Shares_Diluted,42.659,43.621,43.384,43.052,42.945,42.281,41.525,40.86
Total_Assets,1222.4,1231.6,1240.8,1244.3,1197.0,1177.1,1081.2,1052.4
Total_Liabilities,335.0,353.1,395.6,436.7,423.7,446.6,401.6,433.1
