AAII_QTR_DATA,12/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,4785.8,5600.9,5532.3,5437.9,5356.3,5645.1,5510.0,6520.5,6583.8,6691.2,7597.6,6669.4
Current_Liabilities,4777.8,4536.3,3852.3,4216.6,4398.2,4484.6,3692.2,4223.9,5012.7,5069.9,6119.6,5466.2
Diluted_EPS,-7.78,-0.712,0.433,-0.489,-0.733,0.618,0.073,0.186,0.331,1.1340000000000001,0.312,-0.117
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Inventory,2869.6,3449.8,3249.0,3510.3,3610.8,3712.6,4051.2,4558.6,4625.9,4701.1,5147.2,4423.2
LT_Debt,769.2,1602.0,2119.0,1773.5,1607.6,1726.6,2207.4,2351.9,1662.7,1770.5,1796.4,1736.2
Revenue,1536.0,680.2,655.4,284.4,125.8,906.7,497.6,609.4,468.9,1092.2,595.5,355.8
Shares_Diluted,53.6417,54.2959,53.9377,53.639,53.904,54.9278,56.624,57.371,59.325,61.8147,64.472,57.95
Total_Assets,6446.3,7669.3,7249.6,7128.0,7144.4,7421.7,7106.4,7824.2,7951.4,8033.7,8838.3,8185.4
Total_Liabilities,6192.2,7003.9,6575.1,6529.0,6524.3,6731.4,6467.6,7143.7,7248.0,7353.3,8202.3,7505.5
