AAII_QTR_DATA,02/28/2023,11/30/2022,08/31/2022,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018
Current_Assets,4.7,5.1,4.8,4.4,4.2,4.4,5.4,5.4,5.4,5.0,5.2,5.6,6.5,6.1,6.5,6.9,7.1,6.9,7.3
Current_Liabilities,3.4,3.0,2.5,2.6,2.5,2.6,3.2,3.5,3.5,3.6,3.5,4.1,5.1,2.9,3.7,4.0,4.6,4.7,5.7
Diluted_EPS,-0.037,-0.01,-0.015,0.033,0.003,-0.114,-0.011,0.046,0.01,0.012,0.01,-0.019,-0.019,0.009,-0.008,0.047,0.026,0.053,-0.027
Goodwill_Intangibles,2.0,2.0,2.0,1.9,1.9,2.8,2.3,2.3,2.3,2.3,2.3,2.3,2.2,0.5,0.5,0.4,0.4,0.4,0.4
Inventory,3.3,3.4,2.7,2.6,2.0,2.3,2.5,3.2,3.2,2.8,2.8,3.2,3.3,3.2,2.5,2.6,3.4,3.3,3.3
LT_Debt,0.0,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.0,0.0,0.2,0.0,0.5,0.6,0.7,0.8,0.8,0.9
Revenue,2.5,,3.0,7.3,3.0,3.1,3.4,7.3,2.9,3.3,3.7,3.3,3.9,3.7,4.1,5.5,3.9,4.2,4.2
Shares_Diluted,7.5617,,7.5617,7.5769,7.6106,7.5616,7.5468,7.5675,7.5515,7.2003,7.7053,7.6867,7.5521,8.0274,7.4567,7.4567,7.4567,7.4564,7.4567
Total_Assets,13.1,13.3,13.0,12.7,12.7,13.6,14.2,14.4,14.4,14.1,13.7,14.3,15.3,13.1,13.6,14.0,14.2,14.2,14.9
Total_Liabilities,3.5,3.2,2.8,2.9,2.9,3.0,3.6,4.2,4.2,4.0,3.7,4.5,5.4,3.7,4.5,4.9,5.7,5.9,7.1
