AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,255.0,453.7,468.1,490.8,265.4,284.8,105.3,46.5,46.5,10.6,14.7,13.1
Current_Liabilities,24.0,22.5,26.1,21.9,14.3,8.6,29.6,31.1,30.2,10.0,8.7,7.7
Diluted_EPS,-0.495,0.313,-0.892,0.15,-0.033,0.151,0.273,-0.009,0.031,-0.112,-0.18600000000000005,-0.067
Goodwill_Intangibles,13.6,13.9,,,,,,,,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,38.0,29.6,24.2,0.0,0.0,0.0,0.0,0.0,0.0,21.3,19.8,22.5
Revenue,43.8,53.3,57.9,50.3,33.5,32.0,13.0,5.8,9.2,12.7,14.9,26.7
Shares_Diluted,178.0135,178.1685,124.5776,156.0419,123.2979,127.0395,100.2437,96.7322,91.5279,90.9699,127.6409,78.0246
Total_Assets,572.9,753.4,720.7,651.2,362.7,339.8,145.2,72.2,72.0,64.6,71.2,96.2
Total_Liabilities,63.6,102.9,154.7,21.9,14.3,23.0,29.6,31.1,30.2,31.3,28.5,30.2
