AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.1
Diluted_EPS,-0.058,-0.059,-0.058,-0.15,-0.048,-0.039,-0.047,-0.123,-0.055,1.4780000000000002,-1.535,-1.881
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,0.3151,0.3151,0.3151,0.3151,0.3151,0.3151,0.3151,0.2351,0.3151,0.3417,0.3151,0.3151
Total_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_Liabilities,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.1
