AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.4,0.775,0.274,0.257,0.299,0.326,0.283,0.316,0.261,0.319,0.266
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,,0.9,,,,,,,0.6,,
LT_Debt,527.2,552.4,562.9,528.0,538.1,473.3,453.4,441.6,416.5,444.4,421.4
Revenue,37.3,37.1,37.9,37.0,35.4,35.9,36.4,34.3,34.0,35.1,34.7
Shares_Diluted,43.875,43.156,42.254,41.467,41.391,41.311,41.176,41.049,40.891,40.671,40.455
Total_Assets,1342.5,1349.5,1323.5,1264.8,1269.5,1211.8,1193.6,1177.4,1147.5,1161.9,1130.2
Total_Liabilities,661.9,689.9,705.8,670.3,683.0,622.3,608.6,592.8,569.3,580.8,558.1
