AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,2.5,1.8,1.7,2.7,5.2,4.3,5.8,8.1
Current_Liabilities,3.2,2.4,2.7,4.0,4.2,2.2,1.6,1.8
Diluted_EPS,-0.007,-0.007,-0.007,-0.005,-0.005,-0.005,-0.006,-0.005
Goodwill_Intangibles,9.5,9.9,10.9,12.5,12.3,11.8,14.9,11.2
Inventory,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1
LT_Debt,6.1,5.5,2.4,0.1,0.1,2.0,1.9,1.9
Revenue,0.3,0.8,0.6,0.6,0.6,0.7,0.8,0.7
Shares_Diluted,523.2349,519.4364,518.1255,518.1255,479.7877,478.951,477.0141,430.6512
Total_Assets,12.8,12.6,13.5,16.1,18.3,17.1,18.1,20.2
Total_Liabilities,9.3,8.0,5.3,4.3,4.5,4.4,3.6,3.7
