AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,03/31/2011,03/31/2010,09/30/2008
Current_Assets,0.0,0.1,0.2,0.2,0.2,0.1,0.1,,,
Current_Liabilities,0.1,0.1,0.2,0.1,0.1,0.0,0.0,,,
Diluted_EPS,,0.0,-0.002,-0.009,-0.013,-0.006,-0.005,0.04,0.006999999999999999,-4.12
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.2,0.0,0.2,0.0,0.0,0.0,0.8,0.4,
Shares_Diluted,10.8035,10.8417,10.7782,10.7782,10.7535,10.8825,10.7535,7.0506,7.0506,0.10800000000000001
Total_Assets,0.1,0.2,0.3,0.2,0.2,0.2,0.3,,,
Total_Liabilities,0.1,0.1,0.2,0.1,0.1,0.0,0.0,,,
