AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,119.9,126.5,140.8,145.7,157.4,24.0,,,
Current_Liabilities,33.8,31.7,27.7,17.3,18.2,20.6,,,
Diluted_EPS,-0.465,-0.438,-0.465,-0.313,-0.204,-0.4,-0.193,-0.162,-0.255
Goodwill_Intangibles,39.1,39.2,39.4,39.6,39.9,40.4,,,
Inventory,13.2,11.4,9.0,6.1,6.6,4.7,,,
LT_Debt,43.3,33.0,32.7,32.6,32.6,33.8,0.0,0.0,0.0
Revenue,17.9,16.9,16.2,13.5,13.1,12.2,12.9,10.0,19.6
Shares_Diluted,37.6123,37.4645,37.3658,37.1625,29.9748,23.1953,,,
Total_Assets,184.3,187.1,190.9,195.4,206.3,74.5,,,
Total_Liabilities,93.4,80.6,69.6,58.0,58.5,64.2,,,
