AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,1.878,1.357,0.857,0.477,0.831,1.428,1.663,1.771,1.605,1.775,2.305,1.5619999999999998
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,26231.7,26156.5,26723.4,25139.7,27268.9,27553.4,24163.2,26643.9,23324.7,23186.0,23305.5,23678.3
Revenue,1254.1,1240.0,1131.4,1060.7,1062.0,1353.4,1488.6,1416.6,1397.2,1452.8,1462.0,1404.0
Shares_Diluted,328.5941,328.5145,316.6527,305.9134,305.8823,306.5041,306.8571,307.2752,308.7088,308.9781,309.29,356.0731
Total_Assets,34827.9,34411.5,34786.8,31661.6,34026.2,34121.1,31231.6,33844.2,30732.9,30841.8,30686.2,31079.7
Total_Liabilities,31596.1,31347.3,31747.4,29908.7,31996.8,31939.5,28705.2,31171.7,27813.3,27628.8,27389.5,27696.1
