AAII_QTR_DATA,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020
Current_Assets,54.1,58.5,79.8,20.9,25.1,31.0,34.2,3.0
Current_Liabilities,7.6,1.0,3.5,1.3,0.3,0.2,0.2,0.1
Diluted_EPS,-0.04,-0.05,-0.05,-0.022,-0.03,-0.048,-0.06,-0.021
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,148.1513,140.1662,102.7411,91.6691,91.1659,90.2335,34.1276,45.4525
Total_Assets,151.6,146.7,110.5,39.5,38.9,41.3,41.9,9.6
Total_Liabilities,7.6,1.0,3.5,1.3,0.3,0.2,0.2,0.1
