AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,12.2,14.0,16.4,17.3,18.3,16.3,16.1,15.5,11.8,12.2,9.9,11.3,10.9,13.2,13.6,14.1,14.7,6.4,6.2
Current_Liabilities,3.8,3.1,2.7,2.5,2.4,2.5,2.2,2.0,2.1,2.2,1.8,2.4,1.9,2.5,2.2,1.7,2.0,2.6,1.9
Diluted_EPS,-0.299,-0.215,-0.085,-0.022,0.066,0.01,0.019,0.018,-0.061,0.026,-0.045,-0.106,-0.017,-0.043,-0.07,-0.087,0.026,-0.191,-0.046
Goodwill_Intangibles,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Inventory,6.3,6.0,5.3,4.6,3.4,3.1,2.7,2.4,2.1,2.1,2.1,1.9,1.6,2.5,2.7,2.5,2.0,2.3,2.2
LT_Debt,8.9,9.2,9.5,9.7,10.0,8.3,8.5,8.3,8.5,8.7,9.0,8.8,8.0,7.1,7.3,8.0,8.2,8.4,8.6
Revenue,3.4,3.9,4.8,9.9,6.0,5.4,5.2,4.5,4.1,3.7,3.7,3.0,4.9,3.6,3.0,2.7,4.4,2.9,2.2
Shares_Diluted,7.7469,7.7469,7.7469,7.7457,7.7895,7.7435,7.8203,7.7611,7.2194,7.2146,7.2129,7.2129,7.2129,7.2147,7.2096,7.2096,5.6665,5.5013,5.4839
Total_Assets,43.1,44.9,46.4,46.0,46.7,44.5,44.2,43.7,39.6,40.3,40.0,40.7,40.1,38.7,38.8,39.4,40.5,32.7,33.2
Total_Liabilities,15.0,14.5,14.4,13.2,13.3,11.9,11.8,11.5,11.8,12.1,12.0,12.4,11.1,9.7,9.7,9.8,10.2,11.0,10.6
