AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,193.9,206.5,223.5,203.1,214.0,243.0,246.1,249.3,233.9
Current_Liabilities,108.1,121.5,121.0,116.0,127.6,161.1,140.3,141.9,132.3
Diluted_EPS,-0.076,-0.212,0.429,0.112,0.061,0.05,0.095,0.155,0.039
Goodwill_Intangibles,44.8,44.9,45.0,45.1,45.2,45.6,45.9,46.2,
Inventory,32.5,33.5,27.2,27.5,26.2,24.4,21.1,26.6,27.4
LT_Debt,0.0,0.0,4.0,4.0,4.0,4.0,8.1,8.2,8.3
Revenue,38.3,47.7,78.3,63.4,59.7,62.1,69.7,62.8,66.5
Shares_Diluted,55.5053,55.4933,56.0348,56.0592,56.1892,55.9595,55.9624,55.8186,55.6392
Total_Assets,358.3,374.0,391.8,358.8,365.5,395.3,394.7,391.3,371.8
Total_Liabilities,121.4,134.3,138.2,130.1,142.4,175.7,155.7,157.8,148.7
