AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,315.4,318.1,329.2,335.8,327.6,309.7,305.7,303.4,302.8,303.0,292.2,289.8,340.7,321.8,314.6,299.6
Current_Liabilities,59.3,59.8,61.5,59.9,61.8,55.5,56.7,52.0,50.6,55.8,50.2,50.0,46.4,43.8,46.6,46.1
Diluted_EPS,-0.151,-0.625,-1.007,0.533,0.223,-0.033,-0.232,-0.077,0.11599999999999999,-0.073,-0.063,0.309,0.454,0.235,0.446,0.725
Goodwill_Intangibles,88.7,90.9,93.1,95.3,97.5,99.6,102.0,104.1,106.2,108.2,110.5,112.8,5.4,5.6,6.0,6.4
Inventory,33.5,34.1,31.9,31.8,27.2,26.4,24.8,29.2,36.2,37.6,35.7,34.1,24.5,28.8,27.1,30.6
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,103.4,80.4,76.4,93.1,101.6,86.9,74.0,74.3,71.7,88.5,78.9,91.8,101.1,90.2,86.5,95.3
Shares_Diluted,22.845,22.7544,22.7104,22.8542,22.8743,22.1814,22.0427,21.9983,22.2214,21.9164,21.877,22.1917,22.3597,22.5349,22.5217,22.6591
Total_Assets,470.1,474.6,489.5,512.9,498.2,476.5,461.9,460.3,458.1,459.1,447.3,444.7,403.8,388.2,375.9,357.1
Total_Liabilities,113.5,116.3,119.3,121.9,127.3,120.2,112.2,107.8,107.0,111.8,102.7,101.6,70.0,66.3,65.5,65.8
