AAII_QTR_DATA,04/30/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020
Current_Assets,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,3.7,0.0,2.3,2.4,2.4,2.3,2.3,1.5
Diluted_EPS,-0.147,-12.381,0.002,-0.002,-0.007,-0.007,-0.423,-0.034
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,2.5005,2.01,1.9767,1.9767,1.9767,1.9767,1.9767,1.9767
Total_Assets,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Total_Liabilities,7.6,0.0,2.3,2.4,2.4,2.3,2.3,1.5
