AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,33.8,46.2,54.5,28.8,31.1,28.6,32.9,34.2,3.9,3.0,1.7,2.4,2.9,,,
Current_Liabilities,17.8,20.2,21.1,25.8,24.5,6.8,5.0,4.5,4.6,4.2,2.9,2.8,2.9,,,
Diluted_EPS,-0.353,-0.367,-0.238,-0.236,-0.149,-0.245,-0.095,-0.015,0.016,-0.004,-0.13699999999999998,-0.115,-0.076,-0.10800000000000001,-0.106,-0.012
Goodwill_Intangibles,53.9,53.1,44.8,44.3,43.2,5.9,1.8,0.7,0.6,0.6,0.5,0.4,0.3,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.3,0.2,0.1,0.1,0.4,0.3,0.3,0.3,0.8,0.5,0.5,0.5,0.5,0.0,0.0,0.0
Revenue,128.2,90.1,95.5,100.9,84.2,49.6,53.4,55.8,38.7,28.8,33.2,32.1,27.8,18.1,18.0,23.1
Shares_Diluted,16.04,16.3232,15.2297,14.3127,14.0481,13.8995,13.4513,12.1561,10.03,9.9969,9.8388,2.0748,13.6532,,,
Total_Assets,96.4,105.6,104.9,78.7,80.0,37.4,35.2,35.2,4.8,3.9,2.5,3.1,3.5,,,
Total_Liabilities,23.7,24.0,24.8,29.1,28.4,9.1,5.6,5.0,5.6,4.9,3.6,3.5,3.6,,,
