AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.5
Diluted_EPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1.5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,89789.41,89789.41,89789.41,89789.41,89789.41,89789.41,89789.41,89789.41,89789.41
Total_Assets,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_Liabilities,2.0,1.7,0.5,0.4,0.4,0.4,0.4,0.4,0.5
