AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,104.2,21.5,12.1,18.1,28.6,11.7,36.9,59.2,76.8,93.0,112.8
Current_Liabilities,43.8,41.7,40.9,40.6,47.1,37.0,37.3,28.3,17.6,12.2,8.0
Diluted_EPS,-0.814,-0.25,-0.598,-0.802,-1.083,-1.594,-2.146,-1.927,-1.44,-1.579,-1.775
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,34.9,35.9,34.1,32.8,29.8,7.6,9.3,10.8,12.1,13.1,14.5
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3
Shares_Diluted,121.5491,44.8043,20.3924,15.6148,14.869,14.8339,14.5713,14.3402,14.2904,15.3659,14.0346
Total_Assets,115.2,32.8,26.3,31.7,42.3,25.8,50.9,71.3,89.1,97.9,116.9
Total_Liabilities,83.6,83.4,82.2,80.5,84.1,52.0,54.0,46.7,37.5,26.2,22.8
