AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,239.1,242.6,255.8,163.1,165.7,173.7,171.4,164.2,175.2,181.0,176.8,126.4,120.5,117.3,121.2,125.5
Current_Liabilities,25.3,32.6,35.5,107.2,107.7,112.2,27.6,19.6,24.4,19.7,19.5,21.4,20.3,24.5,23.0,22.9
Diluted_EPS,-0.453,-0.419,-0.814,-0.531,-0.369,-0.398,-0.677,-0.626,-0.772,-0.193,-0.34600000000000003,-0.18600000000000005,-0.192,-0.32799999999999996,-0.27899999999999997,-0.33
Goodwill_Intangibles,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
Inventory,32.0,31.6,22.0,18.4,24.1,28.1,36.3,38.0,37.1,31.8,34.2,36.3,37.9,41.2,44.7,49.2
LT_Debt,279.4,279.1,278.7,0.0,0.0,0.0,54.6,53.6,52.7,51.8,50.9,20.2,22.2,15.9,17.9,19.9
Revenue,59.8,53.1,52.6,45.2,47.3,45.2,36.4,28.2,26.5,47.8,40.8,40.8,38.2,33.1,34.6,34.4
Shares_Diluted,25.429,24.98,24.584,24.33,24.12,23.671,23.218,22.931,22.715999999999998,22.412,22.174,21.961,21.709,21.544,21.475,21.403
Total_Assets,304.4,316.9,315.5,210.4,211.4,214.5,207.6,200.1,211.3,218.2,215.0,164.4,160.2,158.5,145.1,150.1
Total_Liabilities,315.7,323.2,326.6,121.1,122.7,128.1,98.5,90.7,95.0,90.0,89.8,61.9,63.5,62.3,47.2,49.6
