AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,109.5,106.3,123.6,84.1,85.9,54.3,54.2,94.0,56.3
Current_Liabilities,33.8,27.1,25.3,28.6,25.9,25.0,25.3,29.5,24.4
Diluted_EPS,0.883,-0.075,0.424,-0.797,0.023,0.096,0.07,-0.215,-0.066
Goodwill_Intangibles,13.4,13.8,14.3,14.7,39.3,39.8,40.3,40.7,41.2
Inventory,11.1,7.6,8.4,13.6,13.3,15.3,16.9,16.5,17.8
LT_Debt,49.1,80.1,98.0,79.1,85.1,94.2,99.2,98.3,101.3
Revenue,47.7,40.7,62.1,61.7,62.7,69.4,65.2,74.7,73.4
Shares_Diluted,25.394,24.802,25.276,24.725,25.053,25.091,25.027,24.561,24.483
Total_Assets,322.3,321.9,338.4,301.8,330.6,338.6,341.4,330.0,334.7
Total_Liabilities,118.5,141.0,156.2,130.7,140.0,149.0,154.5,145.1,145.8
