AAII_QTR_DATA,04/01/2023,12/31/2022,09/24/2022,06/25/2022,03/26/2022,12/25/2021,09/25/2021,06/26/2021,03/27/2021,12/26/2020,09/26/2020,06/27/2020,03/28/2020,12/28/2019,09/28/2019,06/29/2019,03/30/2019,12/29/2018,09/29/2018
Current_Assets,17.9,19.2,28.2,29.5,30.2,35.1,36.9,40.7,26.6,26.5,28.6,29.8,24.0,24.5,17.9,20.9,20.5,20.5,20.4
Current_Liabilities,14.0,12.1,11.5,10.2,7.4,8.8,6.0,12.0,13.5,12.4,13.6,13.7,12.1,13.2,7.2,9.5,8.1,6.8,5.4
Diluted_EPS,-0.166,-0.308,-0.065,-0.043,-0.103,-0.11,0.068,-0.144,0.002,-0.025,-0.04,0.002,0.04,0.027,-0.026,-0.019,-0.036,-0.119,-0.0069999999999999
Goodwill_Intangibles,0.7,0.7,3.4,3.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,2.8
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.7,0.5,0.5,0.6,1.8,1.8,1.6,1.9,2.2,3.1,3.7,4.5,0.2,0.2,0.2,0.0,0.0,0.0,0.0
Revenue,13.2,8.4,13.1,11.4,7.4,7.0,5.9,11.1,12.4,11.6,15.7,17.9,19.3,16.7,14.0,13.6,12.2,12.7,14.3
Shares_Diluted,38.181,35.82,35.802,35.444,35.231,35.224,35.159,29.599,27.557,27.309,27.507,27.413,27.414,27.405,27.41,27.408,27.431,27.507,27.509
Total_Assets,28.5,30.0,41.6,38.8,37.0,42.1,42.3,44.2,30.4,30.4,32.9,34.5,28.8,28.7,22.1,25.2,23.5,22.3,24.3
Total_Liabilities,21.5,19.7,20.3,15.2,12.5,13.9,10.4,14.6,16.7,16.8,18.7,19.2,13.6,14.7,8.9,11.2,9.0,6.8,5.4
