AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,0.8,0.9,0.9,0.7,1.2,2.1,1.3,2.4,3.1
Current_Liabilities,0.9,3.4,4.4,2.4,,3.0,2.3,2.5,0.8
Diluted_EPS,-0.074,-0.573,-0.522,-0.418,-0.219,-0.63,-0.708,-0.469,-0.162
Goodwill_Intangibles,0.3,0.3,0.1,0.2,0.2,0.3,0.3,0.3,0.3
Inventory,0.1,0.1,0.1,0.2,0.1,0.3,0.2,0.3,0.2
LT_Debt,1.0,1.0,1.0,0.5,0.4,0.5,0.0,0.0,0.0
Revenue,1.0,3.7,2.6,1.8,0.9,6.2,3.2,2.7,1.9
Shares_Diluted,4.7723,4.7723,4.7723,4.7723,4.7723,4.7723,4.7723,4.7723,4.7723
Total_Assets,3.0,3.6,2.3,2.3,3.5,5.4,3.9,5.2,4.9
Total_Liabilities,1.9,4.4,5.4,2.9,0.3,3.5,2.3,2.5,0.8
