AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,4.2,0.2,0.2,0.4,0.2,1.2,0.1,0.1,0.0,0.0,0.0
Current_Liabilities,6.9,1.2,1.3,3.6,3.8,4.6,1.5,1.3,1.2,1.4,1.2
Diluted_EPS,-0.239,-1.232,0.339,0.049,-0.241,-1.207,-0.224,-0.437,-0.38299999999999995,-2.417,-2.0869999999999997
Goodwill_Intangibles,64.6,0.0,0.0,0.0,5.0,5.0,2.1,2.2,2.4,2.6,2.7
Inventory,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LT_Debt,0.3,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,2.0,0.4,0.4,0.4,0.5,1.3,0.2,0.4,0.2,0.0,0.0
Shares_Diluted,18.5713,5.285,5.1793,4.6517,4.6492,4.6492,3.8255,3.7332,2.526,0.3597,0.2915
Total_Assets,75.9,0.2,7.0,7.2,5.6,6.7,2.1,2.3,2.4,2.6,2.8
Total_Liabilities,9.6,1.3,1.6,3.9,4.1,4.8,1.5,1.3,1.2,1.4,1.2
