AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,1.099,0.147,0.115,0.288,0.353,0.384,0.351,0.454
Goodwill_Intangibles,23.3,23.5,19.9,3.3,3.3,3.3,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,24.5,9.8,9.8,9.8,9.8,9.8,0.0,0.0
Revenue,22.7,13.5,11.4,10.4,10.8,8.6,8.0,7.2
Shares_Diluted,5.6594,5.664,4.5932,4.3469,4.3348,3.3074,,
Total_Assets,1585.8,1027.6,960.8,736.2,721.8,574.8,,
Total_Liabilities,1490.9,937.6,868.7,670.9,657.9,512.4,,
