AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.686,0.688,0.937,0.619,0.601,0.599,1.282,0.596,0.728,0.617,0.512,0.643
Goodwill_Intangibles,82.0,77.9,73.7,73.2,72.1,74.2,72.8,70.5,66.4,61.9,62.2,62.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1316.1,1286.1,1310.9,1211.1,1232.6,1250.4,1182.6,1112.5,1135.4,1120.2,1105.8,1083.9
Revenue,99.6,97.9,92.7,92.0,89.7,88.6,86.6,83.9,82.1,78.8,78.0,75.3
Shares_Diluted,40.165,39.765,39.68,39.45,39.077,38.882,38.7,37.869,37.019,36.526,36.229,35.798
Total_Assets,2855.6,2756.9,2720.8,2635.7,2622.5,2604.8,2546.1,2400.4,2295.4,2171.6,2131.7,2089.2
Total_Liabilities,1483.2,1441.0,1451.2,1392.8,1407.4,1414.1,1345.5,1294.0,1288.0,1251.8,1228.6,1220.8
