AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,12/31/2019,09/30/2019
Current_Assets,406.8,427.2,449.1,457.9,457.8,457.4,127.5,108.6,,
Current_Liabilities,117.5,120.1,120.1,118.3,118.7,120.4,116.8,106.8,,
Diluted_EPS,-0.344,-0.325,-0.199,-0.2,-0.054,-0.104,0.049,0.042,-0.166,-0.561
Goodwill_Intangibles,2.3,,,,,,,,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.7,1.4,2.0,2.5,3.3,3.6,25.7,24.6,0.0,0.0
Revenue,48.2,48.5,52.0,49.4,52.1,50.1,53.3,103.7,23.9,65.2
Shares_Diluted,47.1876,47.6318,47.8031,47.1012,46.5702,32.6156,44.4729,44.4729,,
Total_Assets,445.2,462.1,480.5,487.9,488.6,487.7,156.7,134.2,,
Total_Liabilities,125.8,129.6,125.4,124.2,125.8,128.0,146.5,135.3,,
