AAII_QTR_DATA,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018
Current_Assets,41.9,37.5,42.4,42.0,44.2,42.1,37.5,44.1,42.8,42.5,56.0,49.6,43.5,35.1,50.6,36.1,36.7,31.0,27.3
Current_Liabilities,38.7,39.3,38.1,37.8,34.6,35.3,33.6,33.8,29.9,31.5,31.5,29.4,30.9,31.7,39.2,34.8,26.7,27.1,27.5
Diluted_EPS,0.835,-0.158,0.391,-0.295,-0.381,-0.278,0.195,0.103,-0.25,-0.423,0.117,-0.285,-0.374,-0.18,-0.064,0.148,-0.276,-0.192,0.488
Goodwill_Intangibles,9.0,8.8,9.1,9.4,9.7,9.9,10.2,12.7,12.9,12.8,13.1,13.2,14.0,14.2,14.6,7.5,7.8,7.7,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.2,1.3,1.2,1.8
LT_Debt,41.6,104.8,129.7,137.1,143.8,130.4,120.9,128.2,131.5,122.6,122.2,124.3,126.6,105.9,109.3,93.7,94.0,77.0,70.6
Revenue,37.9,39.7,58.9,86.0,39.3,33.5,49.1,45.1,38.3,29.8,53.6,39.6,41.7,36.5,50.9,42.0,42.0,14.7,40.0
Shares_Diluted,18.378,17.609,18.334,17.505,17.448,17.903,18.243,17.461,17.405,17.843,18.497,17.634,17.579,17.739,17.554000000000002,18.225,17.488,17.528,16.551
Total_Assets,321.1,368.5,393.5,390.7,393.9,392.3,388.3,394.6,391.8,389.6,401.9,398.7,408.6,399.9,415.7,383.3,373.5,421.3,411.9
Total_Liabilities,121.7,188.3,208.8,211.8,214.4,205.0,196.3,204.4,203.3,196.8,197.4,196.4,200.0,182.8,192.3,157.2,148.8,192.0,175.1
