AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
Current_Assets,14.4,6.8,5.7,8.5,3.5,3.7,3.2,1.7,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Current_Liabilities,16.0,10.2,7.0,4.4,3.0,3.6,2.6,2.3,1.9,1.9,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2
Diluted_EPS,-0.037,-0.036,-0.032,-0.101,-0.031,-0.069,-0.05,-0.015,-0.013000000000000001,-0.142,0.0,0.0,0.0,0.0,0.0,-0.001,-0.001,-0.001
Goodwill_Intangibles,2.6,2.7,3.0,3.0,11.5,3.7,1.5,1.6,1.7,1.7,,,,,,0.0,0.0,0.0
Inventory,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.1,0.1,,,,,,0.0,0.0,0.0
LT_Debt,3.7,2.1,0.7,3.3,2.0,1.5,1.3,1.4,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,10.8,4.9,3.0,2.4,1.2,0.8,0.7,0.6,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,153.5179,136.596,133.47,129.548,124.9654,120.1539,,113.193,112.1316,72.4777,226.5034,45.5193,44.9153,44.9156,44.9156,44.9156,44.9156,44.9156
Total_Assets,18.1,9.7,9.0,11.8,15.3,9.2,5.3,3.9,4.3,4.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Total_Liabilities,20.6,13.2,8.8,8.8,5.1,5.7,4.1,3.9,3.0,3.0,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2
