AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,428.9,521.3,345.3,224.0,241.5,259.3,0.3,0.6,0.6,0.1
Current_Liabilities,33.4,27.3,38.5,54.3,43.2,30.6,0.7,0.1,0.1,0.2
Diluted_EPS,-0.092,-0.191,-0.156,-0.177,-0.094,-0.509,-0.1,-0.012,-0.011000000000000001,0.0
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,233.0,232.8,232.5,291.9,291.2,289.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,163.249,133.244,124.333,118.255,117.346,51.223,8.3514,9.828,9.828,9.6375
Total_Assets,886.5,898.8,664.7,691.9,685.1,685.3,76.8,77.1,77.2,0.2
Total_Liabilities,335.5,335.6,283.1,361.8,358.3,343.9,3.4,2.8,2.8,0.2
