AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,288.9,268.1,116.7,94.4,,,,,,,
Current_Liabilities,199.7,181.0,161.4,148.1,,,,,,,
Diluted_EPS,-0.077,-0.045,-0.004,-0.071,-0.097,-0.04,-0.066,-0.077,-0.069,-0.064,-0.083
Goodwill_Intangibles,744.4,749.9,758.2,766.6,,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,201.9,201.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,76.4,70.4,62.2,60.4,57.0,54.6,48.3,44.1,41.9,39.3,34.6
Shares_Diluted,116.6329,113.2031,116.3624,116.3624,,,,,,,
Total_Assets,1078.2,1055.3,909.4,893.9,,,,,,,
Total_Liabilities,262.7,239.9,412.5,397.4,,,,,,,
