AAII_QTR_DATA,04/03/2022,01/02/2022,10/03/2021,07/04/2021,04/04/2021,01/03/2021,09/27/2020,06/28/2020,03/29/2020,12/29/2019
Current_Assets,11.5,12.6,2.2,1.8,1.5,1.4,1.5,1.3,0.4,0.3
Current_Liabilities,1.2,0.9,1.1,0.9,1.2,1.0,1.1,1.0,0.9,0.8
Diluted_EPS,,0.006,0.058,0.053,0.033,-0.003,0.031,0.084,-0.013999999999999999,-0.046
Goodwill_Intangibles,0.2,,,,,,,,0.0,0.0
Inventory,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LT_Debt,2.8,2.8,3.0,3.0,2.7,2.9,3.0,3.2,3.3,3.2
Revenue,2.1,1.8,2.3,2.4,1.9,2.1,2.4,2.4,1.3,6.5
Shares_Diluted,,4.3828,4.0475,4.0475,4.0475,8.095,8.095,8.095,,
Total_Assets,15.4,14.5,4.1,3.8,3.5,3.4,3.5,3.4,2.7,2.6
Total_Liabilities,4.6,3.9,4.3,4.1,4.1,4.1,4.1,4.2,4.2,4.1
