AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,71.0,82.6,97.4,108.4,121.4,131.8,,,,0.5,0.6,0.6,0.7,0.9
Current_Liabilities,13.8,14.4,18.9,15.4,3.6,5.0,,,,1.3,1.3,0.8,0.6,0.6
Diluted_EPS,-0.217,-0.08,-0.176,-0.233,-0.068,0.071,-0.037,-0.016,-0.006999999999999999,-0.003,-0.002,-0.002,-0.006999999999999999,-0.003
Goodwill_Intangibles,52.1,52.7,53.4,54.3,5.2,5.2,,,,,,,,0.0
Inventory,10.2,9.2,7.0,5.6,0.9,0.8,,,,,,,,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,2.2,1.3,2.9,1.7,1.0,1.5,0.4,0.2,0.2,,,,,0.0
Shares_Diluted,51.4768,51.2536,51.3134,48.3252,46.1265,40.9873,,,,20.4382,27.5651,27.5651,27.5651,27.5651
Total_Assets,137.4,148.2,163.0,174.0,130.4,137.3,,,,226.4,226.0,225.1,224.1,223.2
Total_Liabilities,19.2,19.6,32.8,37.8,23.7,28.6,,,,9.0,9.0,8.6,8.3,8.3
