AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.246,0.18,0.13,0.12,0.32,0.25,0.25,0.16,,0.14,
Goodwill_Intangibles,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,32.3,32.3,24.5,30.5,33.5,33.6,34.6,16.6,8041.9,7.7,0.0
Revenue,4.6,,,,,,,,,,
Shares_Diluted,3.3563,3.3553,3.3566,3.355,3.3512,3.3508,3.3508,3.3486,3.3512,3.3426,
Total_Assets,532.7,527.1,507.4,473.0,,,458.1,439.3,426.3,424.1,
Total_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
