AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
Current_Assets,6.7,6.6,7.5,8.2,9.4,10.4,11.9,0.3,0.3,0.4,,,,0.4
Current_Liabilities,1.5,1.2,1.0,0.8,2.4,2.6,1.0,1.3,1.2,1.2,,,,1.2
Diluted_EPS,-0.133,-0.104,-0.078,-0.084,-0.079,-0.117,-0.089,-0.052,-0.291,-0.018,-0.039,-0.032,-0.112,-0.287
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,,,,0.3
LT_Debt,1.4,1.4,1.4,1.4,0.0,0.0,1.6,4.8,3.8,2.5,0.0,0.0,0.0,2.5
Revenue,,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.5
Shares_Diluted,12.8864,11.8864,11.8864,11.8864,11.8864,11.9377,7.1712,4.8649,4.8649,,,,,8.624
Total_Assets,8.5,8.4,9.4,10.1,11.2,10.7,12.1,0.6,0.6,0.9,,,,0.9
Total_Liabilities,4.2,4.0,3.8,3.7,3.9,2.6,2.7,6.1,5.9,3.7,,,,3.7
